data,date,snowmelt
original,1980-04-19,NA
original,1982-04-20,NA
original,1983-04-20,NA
original,1984-04-19,-2.3308325424635163
original,1986-04-20,-0.9844489370007068
original,1987-04-20,-3.451173754525371
original,1988-04-19,-0.7717133222031407
original,1990-04-20,12.27736044577323
original,1991-04-20,2.5280871132854372
original,1993-04-20,-2.147550355922431
original,1994-04-20,7.790274617774412
original,1995-04-20,-9.741235633287578
original,1996-04-19,-1.1058166263392195
original,1997-04-20,-4.140192895382643
original,1998-04-20,0.5582444809842855
original,2001-04-20,-6.103707348695025
original,2003-04-20,0.33074229219928386
original,2004-04-19,-1.3777029681485147
original,2005-04-20,0.4989820696413517
original,2006-04-20,1.568616048374679
original,2007-04-20,-6.375110614486038
original,2008-04-19,-12.48343206886202
original,2009-04-20,0.7495693026576191
original,2010-04-20,5.152631011791527
original,2011-04-20,-2.2593470013234764
original,2012-04-19,-1.0113019833341241
original,2014-04-20,-2.463256261893548
new,1981-04-20,NA
new,1985-04-20,NA
new,1989-04-20,-2.1642375409137458
new,1992-04-19,-1.5664367049466819
new,1999-04-20,-2.616915266495198
new,2000-04-19,-0.8089357246644795
new,2002-04-20,-0.85505142332986
new,2013-04-20,NA
original,1980-04-20,NA
original,1982-04-21,NA
original,1983-04-21,NA
original,1984-04-20,-4.389336781964327
original,1986-04-21,-0.4878710403572768
original,1987-04-21,-2.452335827751085
original,1988-04-20,-7.613851709931623
original,1990-04-21,12.546531818807125
original,1991-04-21,2.832407280988991
original,1993-04-21,-0.6092148547526449
original,1994-04-21,13.829468864947557
original,1995-04-21,-8.199269994720817
original,1996-04-20,-0.6349113043397665
original,1997-04-21,-3.9239833728410303
original,1998-04-21,1.669150596309919
original,2001-04-21,-2.456325479239846
original,2003-04-21,2.4823734997306017
original,2004-04-20,-2.134487659903243
original,2005-04-21,2.2416575578507034
original,2006-04-21,2.372567545855418
original,2007-04-21,-2.7206467073876412
original,2008-04-20,-3.193484454927966
original,2009-04-21,3.183890384528786
original,2010-04-21,5.291017669718713
original,2011-04-21,-1.5781071552541106
original,2012-04-20,-2.4647939547430724
original,2014-04-21,-1.3850723237264901
new,1981-04-21,NA
new,1985-04-21,NA
new,1989-04-21,0.8077493315795437
new,1992-04-20,1.6847895778249948
new,1999-04-21,-14.157089249463752
new,2000-04-20,1.6451828726567328
new,2002-04-21,0.5462524452712387
new,2013-04-21,NA
original,1980-04-21,NA
original,1982-04-22,NA
original,1983-04-22,NA
original,1984-04-21,-1.145420048230638
original,1986-04-22,-2.906898171233479
original,1987-04-22,-1.445009127492085
original,1988-04-21,-3.1978519342956133
original,1990-04-22,3.9785348263103515
original,1991-04-22,1.655798683082685
original,1993-04-22,1.5238038948737085
original,1994-04-22,13.761324387881904
original,1995-04-22,-3.166461014794186
original,1996-04-21,-5.207190434390213
original,1997-04-22,-0.7617950899526477
original,1998-04-22,4.927439509114872
original,2001-04-22,-0.5225836134050041
original,2003-04-22,4.153044586116448
original,2004-04-21,3.7796303969807923
original,2005-04-22,3.929346117284149
original,2006-04-22,-1.1158856634283438
original,2007-04-22,-1.2045441528316587
original,2008-04-21,-3.2104958573356273
original,2009-04-22,1.8761795999482274
original,2010-04-22,4.322646095650271
original,2011-04-22,-1.6485918178688734
original,2012-04-21,-1.8059744433655094
original,2014-04-22,-0.10110432794317603
new,1981-04-22,NA
new,1985-04-22,NA
new,1989-04-22,-8.67789366596844
new,1992-04-21,3.9633249253965914
new,1999-04-22,-10.078904601357257
new,2000-04-21,0.6751922719801465
new,2002-04-22,-1.5541803095955402
new,2013-04-22,-1.5172184324357658
original,1980-04-22,NA
original,1982-04-23,NA
original,1983-04-23,NA
original,1984-04-22,-0.30046439489039284
original,1986-04-23,-6.391472496849019
original,1987-04-23,-3.0362499320181087
original,1988-04-22,0.6616073557524942
original,1990-04-23,-0.8737832907936536
original,1991-04-23,3.8792808960191905
original,1993-04-23,-3.9039938937406986
original,1994-04-23,2.586519481986761
original,1995-04-23,-1.0918064165860415
original,1996-04-22,-5.741736683005001
original,1997-04-23,-1.2567517984192818
original,1998-04-23,4.9377597529285895
original,2001-04-23,-1.7374815338601668
original,2003-04-23,4.818522634729743
original,2004-04-22,-6.040146786905825
original,2005-04-23,5.541970354598016
original,2006-04-23,-2.5766271097236313
original,2007-04-23,-0.0835388068575412
original,2008-04-22,-2.0640379898250103
original,2009-04-23,-6.572532696975395
original,2010-04-23,-6.092614495754242
original,2011-04-23,-2.0100029285997154
original,2012-04-22,-0.8525022102985531
original,2014-04-23,-0.6138347707455978
new,1981-04-23,NA
new,1985-04-23,NA
new,1989-04-23,-18.1963454404613
new,1992-04-22,0.45345827834680674
new,1999-04-23,-5.345095046679489
new,2000-04-22,1.2067734824183087
new,2002-04-23,-11.611962992325426
new,2013-04-23,-1.5562569042667747
original,1980-04-23,NA
original,1982-04-24,NA
original,1983-04-24,NA
original,1984-04-23,-2.5969212108757347
original,1986-04-24,-1.5139101126696914
original,1987-04-24,-2.3136987150646746
original,1988-04-23,1.3340217082295567
original,1990-04-24,-1.231870296120178
original,1991-04-24,3.6042331870645286
original,1993-04-24,-14.06047004503198
original,1994-04-24,-0.39311393150128426
original,1995-04-24,-0.8625394750852138
original,1996-04-23,-3.5960684228339233
original,1997-04-24,-0.40541147079784423
original,1998-04-24,13.877962006547023
original,2001-04-24,-0.6148496590709934
original,2003-04-24,5.549799302360043
original,2004-04-23,0.4382753816898912
original,2005-04-24,6.131941977795213
original,2006-04-24,-1.5414508391404524
original,2007-04-24,0.7946980589069426
original,2008-04-23,-2.3646528172306716
original,2009-04-24,-2.0356333367992194
original,2010-04-24,-1.211383353313431
original,2011-04-24,-1.0979210890363902
original,2012-04-23,0.928075133706443
original,2014-04-24,-0.8689619443612173
new,1981-04-24,NA
new,1985-04-24,NA
new,1989-04-24,-3.571878610062413
new,1992-04-23,-0.7928664583712817
new,1999-04-24,-1.1156559911323711
new,2000-04-23,1.29721020325087
new,2002-04-24,-6.169444562587887
new,2013-04-24,-0.3585966133978218
original,1980-04-24,NA
original,1982-04-25,NA
original,1983-04-25,NA
original,1984-04-24,-2.635077849884207
original,1986-04-25,-0.7053005250054412
original,1987-04-25,-1.5317332205013372
original,1988-04-24,-6.434441210469231
original,1990-04-25,-0.4200848961714655
original,1991-04-25,3.101734352717176
original,1993-04-25,-5.022572165820748
original,1994-04-25,-3.7627737696282564
original,1995-04-25,-7.1588916213717315
original,1996-04-24,-16.75039455294609
original,1997-04-25,-0.6391642489470541
original,1998-04-25,-1.0329169164178893
