Timestamp,Please enter how many questions you answered correctly on the test (0 - 18),What do you think the average score among all MDS students was (0 - 18)?
10/14/2020 1:43:12,3,5
10/14/2020 20:22:18,4,6
10/14/2020 20:58:48,4,5
10/14/2020 21:13:30,3,5
10/14/2020 22:52:55,3,7
10/15/2020 0:15:24,2,1
10/15/2020 0:32:29,2,2
10/15/2020 1:40:23,3,5
10/15/2020 10:32:33,3,5
10/15/2020 11:51:59,1,6.5
10/15/2020 12:56:22,2,3
10/15/2020 13:08:52,9,7
10/15/2020 13:27:27,2,6
10/15/2020 13:31:23,4,4
10/15/2020 13:36:59,3,5
10/15/2020 14:07:58,6,7
10/15/2020 14:13:28,8,8
10/15/2020 14:15:38,3,6
10/15/2020 14:20:00,9,9
10/15/2020 14:23:06,2,6
10/15/2020 14:24:44,3,5
10/15/2020 14:28:05,3,5
10/15/2020 14:30:48,3,5
10/15/2020 14:33:03,7,9
10/15/2020 14:38:21,8,6
10/15/2020 14:43:40,6,6
10/15/2020 14:52:02,5,7
10/16/2020 0:55:45,4,6
10/16/2020 1:04:34,5,6
10/16/2020 11:25:03,3,3
10/16/2020 12:03:18,8,8
10/16/2020 12:52:10,1,5
10/16/2020 13:06:10,5,7
10/16/2020 13:35:41,6,7
10/16/2020 14:07:07,5,5
10/16/2020 14:07:10,4,5
10/16/2020 14:19:50,4,8
10/16/2020 14:20:47,4,5
10/16/2020 14:21:10,4,4
10/16/2020 14:24:25,3,8
10/16/2020 14:25:10,5,5
10/16/2020 14:27:07,3,5
10/16/2020 14:33:59,1,4
10/16/2020 15:14:59,9,8
10/16/2020 15:18:30,1,5
10/16/2020 15:36:33,3,6
10/16/2020 15:40:03,4,5
10/16/2020 15:41:24,4,6
10/16/2020 18:30:50,5,5
10/16/2020 21:13:08,3,7
10/16/2020 21:19:16,5,4
10/16/2020 21:22:22,9,10
10/16/2020 21:29:29,4,5
10/16/2020 22:10:31,2,4
10/16/2020 22:40:29,2,3
10/16/2020 23:44:18,5,6
10/17/2020 0:42:14,4,8
10/17/2020 3:40:31,5,8
10/17/2020 3:43:27,2,3
10/17/2020 4:13:20,4,7
10/17/2020 4:26:29,8,8
10/17/2020 6:54:24,9,7
10/17/2020 15:48:01,1,5
10/17/2020 19:22:49,5,7
10/17/2020 22:11:44,4,5
10/17/2020 23:09:48,2,6
10/17/2020 23:27:34,5,6
10/18/2020 5:33:29,4,7
10/18/2020 13:10:53,2,3
10/18/2020 15:36:32,10,8
10/18/2020 15:44:03,5,7
10/18/2020 19:02:08,4,7
10/18/2020 19:22:36,6,6
1/14/2021 8:54:24,6,10
1/14/2021 9:09:14,6,5
1/14/2021 9:33:11,9,10
1/14/2021 9:38:12,6,5
1/14/2021 11:07:42,3,3
1/14/2021 12:20:02,5,6
1/14/2021 13:33:09,8,5
1/14/2021 14:23:30,12,10
1/14/2021 16:28:18,7,7
1/15/2021 11:16:44,3,4
1/15/2021 15:33:40,10,8
1/15/2021 15:36:13,6,5
1/15/2021 18:13:54,1,3
1/16/2021 13:46:58,6,7
1/16/2021 19:56:51,3,7
1/19/2021 18:36:21,11,11
1/19/2021 18:48:00,6,6
1/19/2021 23:47:16,4,8
10/7/2021 13:55:10,10,8
10/7/2021 14:11:30,4,6
10/7/2021 14:24:01,9,8
10/7/2021 14:24:10,8,9
10/7/2021 14:26:46,10,10
10/7/2021 14:38:06,7,9
10/7/2021 14:50:47,5,7
10/7/2021 15:02:25,3,7
10/7/2021 15:08:43,4,5
10/7/2021 15:18:38,16,10
10/7/2021 15:19:09,12,10
10/7/2021 15:29:36,10,10
10/7/2021 15:43:10,8,6
10/7/2021 15:46:55,9,8
10/7/2021 15:51:45,6,8
10/7/2021 18:26:22,9,9
10/7/2021 18:58:30,4,6
10/7/2021 19:28:52,4,10
10/7/2021 22:55:35,9,6
10/8/2021 12:24:47,10,10
10/8/2021 12:43:10,6,9
10/8/2021 13:24:55,6,6
10/8/2021 15:24:39,11,11
10/8/2021 18:01:55,8,8
10/8/2021 18:13:39,8,6
10/8/2021 22:46:41,7,9
10/9/2021 9:33:35,9,9
10/9/2021 9:55:52,8,8
10/9/2021 13:05:58,5,3
10/9/2021 13:35:44,6,4
10/9/2021 15:13:39,8,12
10/9/2021 15:25:59,4,3
10/9/2021 20:59:34,7,10
10/9/2021 21:46:40,3,3
10/10/2021 9:46:52,10,10
10/10/2021 10:09:44,6,10
10/10/2021 13:11:30,13,10
10/10/2021 15:26:46,6,4
10/10/2021 15:33:44,7,10
10/10/2021 21:32:19,6,9
10/10/2021 23:09:57,6,10
10/11/2021 0:30:46,13,12
10/11/2021 11:39:47,7,10
10/11/2021 13:56:34,8,8
10/11/2021 18:23:40,10,7
10/11/2021 19:58:00,10,12
10/11/2021 21:00:01,5,9
10/11/2021 21:57:29,6,12
10/12/2021 21:07:48,11,13
10/12/2021 23:55:15,7,9
10/13/2021 13:04:36,10,10
10/13/2021 14:03:31,5,9
10/13/2021 14:13:25,5,8
10/13/2021 14:16:55,9,8
10/13/2021 14:28:01,6,6
10/13/2021 14:31:02,5,8
10/13/2021 15:04:11,13,16
10/13/2021 15:57:00,10,7
10/13/2021 17:04:10,9,9
10/14/2021 15:51:37,9,6
10/14/2021 20:49:04,12,9
10/15/2021 0:58:35,13,15
10/15/2021 15:16:27,8,8
10/15/2021 17:03:38,3,5
10/15/2021 22:36:43,6,10
10/16/2021 1:39:10,9,9
10/16/2021 12:11:40,10,13
10/16/2021 19:26:54,9,12
1/10/2022 12:58:48,12,10
1/10/2022 14:11:59,8,10
1/10/2022 15:37:23,11,9
1/10/2022 21:06:24,8,6
1/11/2022 14:39:13,13,10
1/11/2022 22:03:34,6,10
1/12/2022 13:57:47,9,9
1/12/2022 14:00:56,10,12
1/12/2022 14:02:29,13,4
1/12/2022 14:03:10,4,8
1/12/2022 14:15:46,14,10
1/12/2022 14:30:00,11,12
1/12/2022 14:40:26,4,8
1/12/2022 15:00:36,7,7
1/12/2022 17:21:59,7,10
1/13/2022 20:06:11,10,11
1/14/2022 20:43:31,17,15
1/15/2022 0:20:08,9,9
1/18/2022 17:57:19,12,12
1/19/2022 10:09:30,8,10
1/19/2022 11:48:14,11,10
1/19/2022 13:35:59,11,9
10/7/2022 9:55:10,6,8
10/7/2022 11:40:25,4,7
10/7/2022 13:02:35,10,10
10/7/2022 13:21:32,5,6
10/7/2022 13:31:09,10,10
10/7/2022 14:23:39,3,3
10/7/2022 14:28:15,8,8
10/7/2022 14:28:31,4,7
10/7/2022 14:38:36,3,5
10/7/2022 14:42:38,7,5
10/7/2022 14:43:39,16,11
10/7/2022 17:43:25,13,15
10/8/2022 10:59:49,10,12
10/8/2022 11:10:42,5,8
10/8/2022 16:10:10,5,10
10/8/2022 20:08:34,7,7
10/8/2022 21:10:57,6,9
10/9/2022 0:27:21,7,11
10/9/2022 14:40:43,7,5
10/10/2022 16:07:34,4,8
10/10/2022 16:57:37,7,7
10/10/2022 17:03:31,9,8
10/10/2022 17:03:53,7,12
10/10/2022 17:17:31,9,8
10/10/2022 19:18:08,8,3
10/11/2022 5:45:19,2,10
10/11/2022 12:50:43,3,9
10/11/2022 13:07:39,11,10
